vintage,grade,dr_12m,dr_24m,dr_36m,prepayment_rate,loan_count
2012Q4,D,0.0701252236135957,0.15277280858676207,0.19821109123434705,0.451520572450805,2795.0
2012Q4,E,0.07828282828282829,0.18013468013468015,0.2474747474747475,0.4957912457912458,1188.0
2012Q4,F,0.10179640718562874,0.20758483033932135,0.25149700598802394,0.5189620758483033,501.0
2012Q4,G,0.15294117647058825,0.27058823529411763,0.38823529411764707,0.43529411764705883,85.0
2013Q1,A,0.010612492419648272,0.03244390539721043,0.045178896300788356,0.5197089144936325,3298.0
2013Q1,B,0.030556924593395762,0.07220305569245934,0.09820108427796945,0.5165105963528832,8116.0
2013Q1,C,0.049328707195655457,0.12053100015085232,0.1627696485141047,0.5064112234122794,6629.0
2013Q1,D,0.08783783783783784,0.17804054054054055,0.22364864864864864,0.44966216216216215,2960.0
2013Q1,E,0.08521739130434783,0.18434782608695652,0.24434782608695652,0.46,1150.0
2013Q1,F,0.11468812877263582,0.24346076458752516,0.317907444668008,0.4688128772635815,497.0
2013Q1,G,0.23214285714285715,0.30357142857142855,0.42857142857142855,0.44642857142857145,56.0
2013Q2,A,0.011168618904930537,0.026968128575320077,0.03977117951511849,0.5211114137837102,3671.0
2013Q2,B,0.029499129365973573,0.07446481614257913,0.10304209771586602,0.5249411041688006,9763.0
2013Q2,C,0.050392972723069814,0.11604253351826167,0.16007859454461396,0.5150254276467868,8652.0
2013Q2,D,0.07625404530744337,0.16201456310679613,0.20449029126213591,0.47957119741100324,4944.0
2013Q2,E,0.08907788719785138,0.17994628469113697,0.238585496866607,0.4991047448522829,2234.0
2013Q2,F,0.12108382726502964,0.2531752751905165,0.3259949195596952,0.4623200677392041,1181.0
2013Q2,G,0.1210762331838565,0.2242152466367713,0.3183856502242152,0.4798206278026906,223.0
2013Q3,A,0.010168650793650794,0.028521825396825396,0.040426587301587304,0.5419146825396826,4032.0
2013Q3,B,0.02845100105374078,0.07141120207505877,0.09702520872173137,0.5230607116803112,12337.0
2013Q3,C,0.04879396059657522,0.11342294236788805,0.15024857300681274,0.5373780150985086,10862.0
2013Q3,D,0.0725486817163536,0.1525073237980355,0.19472686541444081,0.49663966913665347,5803.0
2013Q3,E,0.09190371991247265,0.17760758570386578,0.22939460247994164,0.5032822757111597,2742.0
2013Q3,F,0.12237998647734956,0.2150101419878296,0.2718052738336714,0.5233265720081136,1479.0
2013Q3,G,0.12974683544303797,0.23734177215189872,0.3259493670886076,0.5158227848101266,316.0
2013Q4,A,0.013477088948787063,0.03623839472896077,0.053009883198562445,0.5515124288709194,6678.0
